surface_name	site_name	species_name	formation_energy	frequencies	reference
None	gas	CH4	-2.486809	[0, 0, 0,  0,  83.0, 143.7, 1288.3, 1302.9, 1304.3, 1504.7, 1515.7, 3022.0, 3108.2, 3121.0, 3126.1]	GK calc
None	gas	CO	0.000000000000	[0, 0, 78.6, 263.9, 284.3, 2115.0]	GK calc
None	gas	H2	0.000000000000	[0, 123.3, 182.2, 304.6, 427.9, 4470.7]	GK calc
None	gas	C2H4	-2.76975805	[0, 0, 0, 0, 0, 0, 826.36096307,  959.45228605,  960.34934469, 1053.97242644, 1229.69837936, 1348.85228724, 1472.24547713, 1668.96347041, 3105.59055667, 3125.65012816, 3173.82607546, 3196.77938303]	own calc
None	gas	CH3CH2OH	-3.255991999999992	[0,  0,   0,  134.7,  149.6,  181.7,  334.3,  384.9,  495.9,  832.0, 907.2,  992.8, 1081.6, 1157.1, 1271.7, 1295.2, 1403.1, 1426.8, 1465.6, 1502.8, 1519.1, 2959.8, 2971.0, 3032.1, 3073.8, 3090.5, 3799.5]	GK calc
None	gas	H2O	0.000000000000	[0, 0, 121.9, 259.2, 290.5, 358.9, 1623.4, 3753.9,  3874.9]	GK_calc
Cu	111	clean_minus_H	-0.186927	[]	beta=(0.00446946722444617, -0.2065923419069123)
Cu	111	CO$_{2(g)}$	0.000000	[]	beta=(0, 0.0)
Cu	111	CO$_{2(g)}$-CO$_{2(g)}$	0.533384	[156.4715536930368, 188.73372971221966, 208.09103532372936, 296.81201937648217, 514.5817075059663, 617.0141163668719, 662.9877171942074, 911.4064725419154, 1246.9331031414167, 1977.6713899759084]	beta=(0.19950782371280606, -0.3444507688126851) CO$_{2(g)}$_to_HCOO$^-_{(aq)}$_base 16.0
Cu	111	CO2	0.234592	[8.065544, 115.337279, 163.730543, 177.441968, 251.644973, 492.804739, 588.784712, 1200.152948, 1842.976805,]	beta=(0.3626002105338924, -1.3608493911199981)
Cu	111	COOH	0.414387	[161.31088, 167.763315, 186.314067, 202.445155, 300.844791, 483.126086, 612.981344, 662.987717, 977.543933, 1152.566238, 1651.016858, 3520.609958,]	beta=(0.13967318321800026, -0.20017470615545377)
Cu	111	CO	0.379731	[8.065544, 104.852072, 158.084662, 276.648159, 323.428315, 1926.051908,]	beta=(-0.062079977284048196, 0.6528825921468864)
